t1,t2,f1,f2,E
31.900000000000002,32.0,320.0,370.0,0.0027910668773003158
26.8,26.900000000000002,320.0,370.0,0.0027493327058967336
19.8,19.900000000000002,320.0,370.0,0.0027483980484689324
26.400000000000002,26.5,280.0,330.0,0.0027414501239967624
7.2,7.300000000000001,300.0,350.0,0.002738815162939537
15.200000000000001,15.3,280.0,330.0,0.002721301682897286
29.400000000000002,29.5,280.0,330.0,0.0026738437609353594
11.700000000000001,11.8,380.0,430.0,0.0026579691250525083
4.2,4.3,280.0,330.0,0.0026201052782463922
13.8,13.9,320.0,370.0,0.0025601756675778706
5.9,6.0,320.0,370.0,0.0025477472027674755
8.200000000000001,8.3,320.0,370.0,0.0025336554406398992
19.400000000000002,19.5,140.0,190.0,0.0024990842682656826
15.4,15.5,300.0,350.0,0.002489278557293566
9.4,9.5,300.0,350.0,0.0024758732508240074
26.5,26.6,280.0,330.0,0.0023760365772123758
7.7,7.800000000000001,300.0,350.0,0.002360974272690088
6.5,6.6000000000000005,300.0,350.0,0.0023480848419040567
20.700000000000003,20.8,320.0,370.0,0.0023388081518420705
8.8,8.9,280.0,330.0,0.002325226017755921
12.9,13.0,300.0,350.0,0.0022812093455120367
24.1,24.200000000000003,280.0,330.0,0.0022216442006615165
18.7,18.8,280.0,330.0,0.0022025895521065623
7.800000000000001,7.9,300.0,350.0,0.002150298850228109
3.5,3.6,320.0,370.0,0.002148083901082987
11.8,11.9,380.0,430.0,0.002136961935960506
21.5,21.6,320.0,370.0,0.002133299748854841
15.600000000000001,15.700000000000001,380.0,430.0,0.002083768133551917
32.9,33.0,280.0,330.0,0.002059339072603845
19.5,19.6,140.0,190.0,0.002055463690714103
27.3,27.400000000000002,280.0,330.0,0.0020408976569149164
26.700000000000003,26.8,320.0,370.0,0.0019800330828472594
16.8,16.900000000000002,320.0,370.0,0.0019286474285476298
29.900000000000002,30.0,320.0,370.0,0.0019205227104480936
29.0,29.1,280.0,330.0,0.0019153232905367744
23.3,23.400000000000002,140.0,190.0,0.0018884748550699723
5.7,5.800000000000001,320.0,370.0,0.001865883329440392
11.200000000000001,11.3,380.0,430.0,0.0018460778068129372
31.400000000000002,31.5,300.0,350.0,0.0018352085449365998
10.700000000000001,10.8,280.0,330.0,0.001794627917497261
4.3,4.4,320.0,370.0,0.0017634174727316075
18.0,18.1,320.0,370.0,0.0017613078842592942
15.3,15.4,280.0,330.0,0.0017467201709912945
8.9,9.0,300.0,350.0,0.0017131270623831885
11.9,12.0,380.0,430.0,0.0016725748066166379
19.6,19.700000000000003,140.0,190.0,0.0016717460840743345
26.6,26.700000000000003,280.0,330.0,0.0016557848356163493
23.200000000000003,23.3,140.0,190.0,0.0016476060120534772
6.9,7.0,380.0,430.0,0.0016466366826455873
6.800000000000001,6.9,380.0,430.0,0.0016332798543276864
23.0,23.1,140.0,190.0,0.0015778181732357304
7.0,7.1000000000000005,380.0,430.0,0.001577805649759261
24.200000000000003,24.3,140.0,190.0,0.0015555828344387293
22.8,22.900000000000002,280.0,330.0,0.0015076563795949596
18.8,18.900000000000002,280.0,330.0,0.0015054437914384551
31.8,31.900000000000002,320.0,370.0,0.0014503471182704328
6.300000000000001,6.4,320.0,370.0,0.0014459255384361715
24.3,24.400000000000002,140.0,190.0,0.0014185846454337668
6.2,6.300000000000001,320.0,370.0,0.0013949614241256273
33.0,33.1,280.0,330.0,0.0013886408410371603
29.700000000000003,29.8,140.0,190.0,0.0013660913434677187
29.5,29.6,280.0,330.0,0.0013639045259559446
15.700000000000001,15.8,380.0,430.0,0.00132281936857221
31.700000000000003,31.8,320.0,370.0,0.0013154248734093127
7.1000000000000005,7.2,380.0,430.0,0.0013100934152872573
29.6,29.700000000000003,320.0,370.0,0.0012939056068691133
20.200000000000003,20.3,320.0,370.0,0.0012757361966118316
19.700000000000003,19.8,140.0,190.0,0.001261850901718871
24.400000000000002,24.5,140.0,190.0,0.0012297481958422807
22.700000000000003,22.8,280.0,330.0,0.001216494250183134
26.900000000000002,27.0,320.0,370.0,0.0011952949827203074
29.8,29.900000000000002,140.0,190.0,0.0011739167893638149
25.6,25.700000000000003,280.0,330.0,0.0011675349664624656
10.100000000000001,10.200000000000001,300.0,350.0,0.001158183250009113
12.0,12.100000000000001,380.0,430.0,0.0011402501062194458
17.400000000000002,17.5,320.0,370.0,0.0010504088475907138
24.5,24.6,140.0,190.0,0.0010299549299314537
18.900000000000002,19.0,300.0,350.0,0.0009749352183384982
20.1,20.200000000000003,240.0,290.0,0.0009676864234253116
33.1,33.2,280.0,330.0,0.0009254147872995196
23.400000000000002,23.5,380.0,430.0,0.0009077766865879209
28.5,28.6,320.0,370.0,0.0008828211956042098
13.0,13.100000000000001,280.0,330.0,0.0008734801782177594
17.0,17.1,320.0,370.0,0.0008511160774081937
24.6,24.700000000000003,140.0,190.0,0.0008362063509839996
9.1,9.200000000000001,380.0,430.0,0.0008140478983677713
9.0,9.1,280.0,330.0,0.0008053270580212179
22.0,22.1,320.0,370.0,0.000768455296734594
3.6,3.7,320.0,370.0,0.0007636276040648283
4.4,4.5,140.0,190.0,0.0007544846700393201
21.700000000000003,21.8,380.0,430.0,0.0007418986580936906
20.3,20.400000000000002,240.0,290.0,0.0007094362965320592
21.8,21.900000000000002,380.0,430.0,0.0006976923360490014
21.6,21.700000000000003,980.0,1030.0,0.0006935992493122221
